Class ID,city,dates,year,month,day,cit,Department/College,Course Level,Course Title,Tour?,TILT?,Date Taught,Session Number,AM/PM,Hour Count,Duplicate?,ACRL,IPED,classes,Building/Room,Distance Class?,Location of Site 1,Site 1 Number of Students,Location of Site 2,Site 2 Number of Students,Location of Site 3,Site 3 Number of Students,Location of Site 4,Site 4 Number of Students,Location of Site 5,Site 5 Number of Students,Location of Site 6,Site 6 Number of Students,Location of Site 7,Site 7 Number of Students,Location of Site 8,Site 8 Number of Students,Location of Site 9,Site 9 Number of Students,Location of Site 10,Site 10 Number of Students
4367,Pocatello,29-Feb-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1101,FALSE,FALSE,29-Feb-16,Single Session,AM,1,FALSE,7,7,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4368,Idaho Falls,29-Feb-16,,,,Idaho Falls,College of Arts and Letters,Lower Division,COMM 1101,FALSE,FALSE,29-Feb-16,Single Session,AM,1.5,FALSE,25,25,Idaho Falls,CHE 307,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4383,Pocatello,29-Feb-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1102,FALSE,FALSE,29-Feb-16,Single Session,AM,1,FALSE,19,19,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4360,Pocatello,26-Feb-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1101,FALSE,FALSE,26-Feb-16,First Session,AM,1,FALSE,11,11,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4361,Pocatello,26-Feb-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1101,FALSE,FALSE,26-Feb-16,Third Session,PM,1,FALSE,0,16,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4405,Pocatello,26-Feb-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1101,FALSE,FALSE,26-Feb-16,Single Session,AM,1,FALSE,5,5,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4424,Pocatello,26-Feb-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1102,FALSE,FALSE,26-Feb-16,Third Session,PM,1,FALSE,0,26,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4357,Pocatello,25-Feb-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1102,FALSE,FALSE,25-Feb-16,Second Session,PM,1.5,FALSE,0,12,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4358,Pocatello,25-Feb-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1101,FALSE,FALSE,25-Feb-16,Second Session,PM,1.5,FALSE,0,14,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4425,Pocatello,25-Feb-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1102,FALSE,FALSE,25-Feb-16,Second Session,AM,1.5,FALSE,0,26,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4352,Pocatello,24-Feb-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1102,FALSE,FALSE,24-Feb-16,Second Session,AM,1,FALSE,0,20,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4353,Pocatello,24-Feb-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1101,FALSE,FALSE,24-Feb-16,Second Session,AM,1,FALSE,0,15,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4354,Pocatello,24-Feb-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1101,FALSE,FALSE,24-Feb-16,Second Session,PM,1,FALSE,0,16,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
