var1,var2,r,pvalue,rsq
N211,N227,0.836437006,0.000192446,0.699626866
N211,N213,-0.765663314,0.001412078,0.58624031
N213,DHGO 319,-0.782945736,0.00092865,0.613004026
N213,N227,-0.776277733,0.001096256,0.602607119
N213,N211,-0.765663314,0.001412078,0.58624031
N214,BACK14,-0.888234788,9.75E-06,0.788961039
N215,anxiety10,0.951104004,5.28E-08,0.904598826
N215,anxiety2,0.823054892,0.000163832,0.677419355
N215,QL4,0.807780696,0.000269824,0.652509653
N215,QL21,0.807780696,0.000269824,0.652509653
N215,anxiety tot,0.776549233,0.000662033,0.603028711
N215,anxiety7,0.732142857,0.001912964,0.536033163
N215,MYDH 10,-0.707596977,0.003167278,0.500693481
N220,DHGB126,0.847890865,0.000127787,0.718918919
N220,N204,0.801620146,0.000565366,0.642594859
N220,DHBS 425,0.801620146,0.000565366,0.642594859
N220,MYDH 6,0.767771896,0.001344197,0.589473684
N220,DHBS 428,0.729996395,0.003035665,0.532894737
N220,anxiety8,-0.707733742,0.004628802,0.500887049
N2217,DHBS 404,-0.747501381,0.002116952,0.558758315
N2231,DHGO 304,-0.839146392,0.000175176,0.704166667
N2231,DHGO 317,0.823367641,0.000296207,0.677934272
N227,N211,0.836437006,0.000192446,0.699626866
N227,MYDH 8,-0.825268649,0.000278803,0.681068342
N227,N213,-0.776277733,0.001096256,0.602607119
N228,DHBS 428,-0.752994024,0.001879577,0.567
QL TOT,QL1,0.934805688,3.29E-07,0.873861674
QL TOT,driving habites B,0.932224043,4.21E-07,0.869041666
QL TOT,BACK11,0.931859201,4.35E-07,0.868361571
QL TOT,driving habites C,0.931859201,4.35E-07,0.868361571
QL TOT,driving habites D,0.931598475,4.46E-07,0.867875719
QL TOT,MOCA VISUAL PERCEPTION,-0.723322093,0.003458909,0.52319485
QL1,QL TOT,0.934805688,3.29E-07,0.873861674
QL1,MOCA VISUAL PERCEPTION,-0.756502887,0.001739346,0.572296619
QL10,moca tota,0.870552645,2.42E-05,0.757861908
QL10,bign4,-0.765531816,0.000879455,0.586038961
QL10,ql17r,0.747017881,0.001372665,0.558035714
QL10,QL17,-0.747017881,0.001372665,0.558035714
QL12,DHBS 414,-0.746467635,0.002164168,0.55721393
ql12r,DHBS 414,0.746467635,0.002164168,0.55721393
QL14,driving habites H,-0.827837354,0.000138793,0.685314685
QL14,bigc23,-0.779117072,0.000618249,0.607023411
QL14,bigc23r,0.779117072,0.000618249,0.607023411
QL14,ql17r,0.767425767,0.000838449,0.588942308
QL14,QL17,-0.767425767,0.000838449,0.588942308
QL17,QL14,-0.767425767,0.000838449,0.588942308
QL17,BACK5,0.767425767,0.000838449,0.588942308
QL17,QL10,-0.747017881,0.001372665,0.558035714
QL17,BACK1,0.747017881,0.001372665,0.558035714
QL17,BACK18,0.747017881,0.001372665,0.558035714
QL17,bign4,0.716337354,0.002662026,0.513139205
ql17r,QL14,0.767425767,0.000838449,0.588942308
ql17r,BACK5,-0.767425767,0.000838449,0.588942308
ql17r,QL10,0.747017881,0.001372665,0.558035714
ql17r,BACK1,-0.747017881,0.001372665,0.558035714
ql17r,BACK18,-0.747017881,0.001372665,0.558035714
ql17r,bign4,-0.716337354,0.002662026,0.513139205
QL18,DHGO 331,-0.72265318,0.003503759,0.522227619
QL18,DHBS 422,0.722552173,0.003510572,0.522081642
ql18r,DHGO 331,0.72265318,0.003503759,0.522227619
ql18r,DHBS 422,-0.722552173,0.003510572,0.522081642
QL19,QL21,0.720445535,0.002447983,0.519041769
QL19,MYDH 9,0.715096942,0.002729513,0.511363636
QL21,BACK2,-0.807780696,0.000269824,0.652509653
QL21,N215,0.807780696,0.000269824,0.652509653
QL21,sleep10,-0.803911531,0.00030409,0.646273749
QL21,bigc8,-0.798291205,0.000360134,0.637268848
QL21,bigc8r,0.798291205,0.000360134,0.637268848
QL21,anxiety2,0.79270321,0.000423951,0.628378378
QL21,anxiety10,0.788899289,0.000472451,0.622362088
QL21,anxiety3,0.777188926,0.000650897,0.604022627
QL21,anxiety tot,0.760993009,0.00098437,0.57911036
QL21,MYDH 10,-0.745140823,0.001433095,0.555234846
QL21,QL19,0.720445535,0.002447983,0.519041769
QL22,driving habites E,-0.814900301,0.000215029,0.6640625
QL22,DHBS 420,-0.797264384,0.000637571,0.635630499
QL22,DHGO 311,0.739627908,0.002497985,0.547049442
QL3,bigo25,0.785608958,0.000517965,0.617181435
QL3,MOCA STM SENTENCE,0.708180139,0.004591491,0.501519109
QL4,BACK2,-0.807780696,0.000269824,0.652509653
QL4,N215,0.807780696,0.000269824,0.652509653
QL4,anxiety10,0.788899289,0.000472451,0.622362088
QL4,bigo10,0.735515878,0.002717454,0.540983607
QL6,bigc13,0.798271735,0.000360342,0.637237762
QL6,BACK4,-0.765531816,0.000879455,0.586038961
QL6,biga12r,0.719771161,0.002482139,0.518070525
QL6,biga12,-0.719771161,0.002482139,0.518070525
QL8,biga22,0.737915161,0.001686064,0.544518785
QL8,MYDH 3,-0.714146073,0.002782167,0.510004613
SLEEP TOT,bign14,0.788239741,0.000481302,0.621321889
SLEEP TOT,sleep2,0.784926847,0.000527833,0.616110155
SLEEP TOT,sleep7,0.757490466,0.001072071,0.573791807
sleep10,anxiety tot,-0.822065149,0.000169451,0.675791109
sleep10,QL21,-0.803911531,0.00030409,0.646273749
sleep10,sleep8,0.771153822,0.00076226,0.594678218
sleep10,anxiety3,-0.7618131,0.000964699,0.580359199
sleep2,bign14,0.868390647,2.68E-05,0.754102317
sleep2,SLEEP TOT,0.784926847,0.000527833,0.616110155
sleep2,sleep7,0.757919123,0.00106101,0.574441397
sleep2,biga32,-0.715626447,0.004003096,0.512121212
